,x,y,yf
0,0,2069,15.911118922917225
1,1,2068,13.13532880573733
2,2,2068,11.36575491991379
3,3,2068,9.607529704421442
4,4,2069,8.86582541497153
5,5,2070,8.145791944251112
6,6,2070,6.452547918285574
7,7,2070,4.791139935444969
8,8,2070,3.1665287978538137
9,9,2070,1.5835653333152542
10,10,2072,2.0469931858725725
11,11,2074,2.561388041972788
12,12,2075,2.1311880919325477
13,13,2077,2.7606770995133907
14,14,2077,1.4539468113919787
15,15,2077,0.21490264310514196
16,16,2077,-0.9527778529828721
17,17,2078,-1.0456322543830137
18,18,2079,-1.0604636771834786
19,19,2080,-0.9943475663618511
20,20,2081,-0.8446161132395389
21,21,2082,-0.6088789516246926
22,22,2083,-0.2850106548155429
23,23,2085,1.1288468724833676
24,24,2087,2.6342404678064453
25,25,2089,4.232416243104004
26,26,2091,5.924277903111214
27,27,2093,7.710405049275495
28,28,2095,9.591040727675315
29,29,2096,10.566138989888863
30,30,2097,11.635328422244756
31,31,2097,11.797935704381347
32,32,2097,12.052978362634065
33,33,2098,13.399169346637628
34,34,2101,16.834944178793826
35,35,2102,18.35843047400305
36,36,2103,19.967525191312376
37,37,2103,20.659834319130564
38,38,2101,19.432677717426614
39,39,2099,18.28312705768486
40,40,2098,18.208007425539364
41,41,2097,18.20388382930162
42,42,2096,18.26711261234506
43,43,2093,16.393829646597364
44,44,2088,12.579997961650086
45,45,2082,7.821408058304193
46,46,2076,3.1136894839983404
47,47,2070,-1.5476450034569282
48,48,2064,-6.1671868304363695
49,49,2059,-9.749597303848528
50,50,2054,-13.299636952614875
51,51,2049,-16.82210932485112
52,52,2047,-17.321841936791348
53,53,2044,-18.80369912980708
54,54,2042,-19.27249368246331
55,55,2040,-19.733047855165342
56,56,2038,-20.19016390477713
57,57,2036,-20.648621469710445
58,58,2035,-20.11313258810521
59,59,2033,-20.588355785983406
60,60,2032,-20.078809190696052
61,61,2031,-19.588890909657383
62,62,2030,-19.122841362038546
63,63,2031,-16.684668744055344
64,64,2032,-14.278155210548283
65,65,2032,-12.906805187024128
66,66,2033,-10.57388560593261
67,67,2033,-9.28257972897799
68,68,2032,-9.036030364804752
69,69,2031,-8.837410992672428
70,70,2030,-8.689906796642576
71,71,2030,-7.596589279041702
72,72,2031,-5.560269514074819
73,73,2033,-2.5833246855212852
74,74,2034,-0.6675732571462758
75,75,2035,1.1858006591055756
76,76,2034,0.9762090044288838
77,77,2033,0.703624233381563
78,78,2033,1.368381005699206
79,79,2033,1.9710077808307656
80,80,2033,2.512078648997306
81,81,2034,3.992091607864138
82,82,2033,3.41143789733524
83,83,2034,4.770531351145928
84,84,2034,5.069835787582801
85,85,2034,5.310077871687708
86,86,2035,6.492378165475964
87,87,2036,7.618305329985264
88,88,2035,6.689965492668507
89,89,2035,6.709967273492387
90,90,2034,5.681321724788516
91,91,2033,4.607309813625687
92,92,2032,3.491328690061027
93,93,2032,3.3368022053837274
94,94,2032,3.147107429539905
95,95,2032,2.9256075141233273
96,96,2031,1.6757000548875731
97,97,2032,2.400859505475501
98,98,2032,2.1046097179130467
99,99,2032,1.7905601578644843
100,100,2031,0.46234586099091457
101,101,2030,-0.8763580582987345
102,102,2030,-1.2218966186783495
103,103,2031,-0.5706257227139728
104,104,2032,0.08104916309005361
105,105,2033,0.7366878545652042
106,106,2033,0.399777241618295
107,107,2032,-0.9262746252866338
108,108,2030,-3.2381707488597957
109,109,2029,-4.532708878762172
110,110,2028,-5.806855237245235
111,111,2029,-5.057716340780549
112,112,2030,-4.282558224513137
113,113,2031,-3.4788196172202426
114,114,2031,-3.644129667832181
115,115,2031,-3.7762715039445944
116,116,2032,-2.873256873656668
117,117,2032,-2.9332984445397434
118,118,2032,-2.9548185615639944
119,119,2032,-2.9365103370245715
120,120,2031,-3.8773230159965784
121,121,2031,-3.7764463086933917
122,122,2031,-3.6333149929821884
123,123,2032,-2.44758571927869
124,124,2032,-2.2191659966100428
125,125,2032,-1.9481833309321983
126,126,2031,-2.635065215984586
127,127,2031,-2.2804900361083478
128,128,2032,-0.8854221739114241
129,129,2034,1.5489127226805168
130,130,2036,4.021058936317495
131,131,2037,5.529320321182558
132,132,2038,7.071777680250432
133,133,2039,8.64629121750938
134,134,2041,11.250498558600327
135,135,2043,13.881819053496429
136,136,2044,15.53748575891612
137,137,2045,17.214546338034378
138,138,2043,15.909843477511773
139,139,2041,14.620102791437557
140,140,2037,11.341845441641697
141,141,2035,10.071472061634767
142,142,2034,9.805251383760893
143,143,2033,9.539330767184635
144,144,2032,9.269800525693244
145,145,2033,10.992673398587215
146,146,2034,12.703901681509471
147,147,2035,14.399416044792344
148,148,2035,15.075127249618436
149,149,2034,14.726933342841946
150,150,2034,15.350753645047561
151,151,2034,15.942509342752297
152,152,2034,16.498194696184708
153,153,2034,17.013889368488318
154,154,2035,18.48578109764357
155,155,2035,18.910172140911516
156,156,2034,18.283512125112217
157,157,2035,19.602366440311695
158,158,2041,25.863437474252464
159,159,2054,39.06359590702724
160,160,2075,60.19990592786492
161,161,2095,80.26960172033044
162,162,2103,88.27012180264312
163,163,2090,75.19916386956947
164,164,2052,37.054680182356854
165,165,1995,-20.16505328723347
166,166,1929,-86.46148081401773
167,167,1867,-148.83577450610932
168,168,1823,-193.28883754142197
169,169,1805,-211.82129246866631
170,170,1817,-200.43350796394407
171,171,1856,-162.12560014599595
172,172,1910,-108.89742962283474
173,173,1964,-55.74857829252295
174,174,2009,-11.678300676099932
175,175,2036,14.314454194610756
176,176,2049,26.231099721952685
177,177,2054,30.07335019763152
178,178,2054,28.843200804061244
179,179,2054,27.542938465887953
180,180,2054,26.175108819200165
181,181,2055,25.742519446499916
182,182,2056,25.24820467517049
183,183,2058,25.695448038536973
184,184,2060,26.087771772952237
185,185,2062,26.428951964572438
186,186,2063,25.72297410234182
187,187,2063,23.97405174169124
188,188,2063,22.186569720824657
189,189,2062,19.365063922282925
190,190,2061,16.514226979052715
191,191,2063,16.638892007863358
192,192,2063,14.74399438192284
193,193,2064,13.834618343916544
194,194,2065,12.915925754912667
195,195,2065,10.993137826384523
196,196,2066,10.071543174992602
197,197,2068,10.156441702660523
198,198,2070,10.25316298419984
199,199,2071,9.367020464879175
200,200,2070,6.503281719874255
201,201,2069,3.6672080916656293
202,202,2068,0.8639771315529301
203,203,2068,-0.9012881539981068
204,204,2069,-1.623569775705815
205,205,2071,-1.2979781849911651
206,206,2072,-1.9197593069548613
207,207,2074,-1.4843117850416614
208,208,2074,-2.9872302907729797
209,209,2075,-3.4242734826606354
210,210,2076,-3.7914006273786685
211,211,2078,-3.084764825123501
212,212,2080,-2.300758869582187
213,213,2082,-1.436012215387632
214,214,2085,0.5125649310193392
215,215,2086,0.5477757723466521
216,216,2087,0.6721961280375108
217,217,2088,0.8881280305968406
218,218,2089,1.1975811017439462
219,219,2090,1.602254987207651
220,220,2091,2.1035229381829135
221,221,2093,3.7024433139600514
222,222,2095,5.399761489222584
223,223,2097,7.195912897165103
224,224,2098,8.091021912629378
225,225,2100,10.084933907684873
226,226,2101,11.177147122099978
227,227,2103,13.366879100632467
228,228,2106,16.65301694624141
229,229,2107,18.034127373449124
230,230,2108,19.508494648209314
231,231,2107,19.074058347893907
232,232,2105,17.728512219191956
233,233,2103,16.469265392056755
234,234,2101,15.29346857292167
235,235,2100,15.198067815293161
236,236,2098,14.179741746832175
237,237,2095,12.234962307611266
238,238,2091,9.359965741438096
239,239,2086,5.550799045212065
240,240,2080,0.8033031988381656
241,241,2075,-2.8868388224877704
242,242,2070,-6.524080162966303
243,243,2066,-9.113009080609597
244,244,2061,-12.658336903373833
245,245,2057,-15.164864266019231
246,246,2053,-17.637510994721936
247,247,2049,-20.08126570619111
248,248,2047,-20.501140592946296
249,249,2044,-21.902200904801056
250,250,2043,-21.289487621392137
251,251,2042,-20.668078854415363
252,252,2041,-20.043023359331343
253,253,2040,-19.419322156572875
254,254,2039,-18.80191044721328
255,255,2038,-18.195629305378283
256,256,2037,-17.605187164881702
257,257,2036,-17.035207070000467
258,258,2036,-15.490141028961856
259,259,2036,-13.97433417585873
260,260,2037,-11.491977502948357
261,261,2038,-9.04706135154502
262,262,2040,-5.6433618751546195
263,263,2040,-4.284439097154819
264,264,2039,-3.9736038646337706
265,265,2039,-2.7138911222708293
266,266,2039,-1.5081035266241285
267,267,2040,0.641309065734282
268,268,2040,1.7321556545787007
269,269,2041,3.762430856353379
270,270,2041,4.730193371620208
271,271,2040,4.633540371841704
272,272,2040,5.470634923489577
273,273,2040,6.239801999589624
274,274,2041,7.939740328823894
275,275,2041,8.569657375708777
276,276,2041,9.12930021833611
277,277,2041,9.618898205773558
278,278,2041,10.039055338334894
279,279,2040,9.390609260972596
280,280,2039,8.674532736830725
281,281,2037,6.8918411339352215
282,282,2037,7.04367151444678
283,283,2037,7.131389125210118
284,284,2037,7.156768463679749
285,285,2038,8.122109149952271
286,286,2038,8.030195367495372
287,287,2038,7.8842105703339485
288,288,2036,5.6875327922959
289,289,2035,4.44361365924049
290,290,2034,3.1558937028966865
291,291,2034,2.8278079353094183
292,292,2036,4.462866062898119
293,293,2037,5.0646367000662025
294,294,2037,4.636800879978235
295,295,2037,4.18314663678504
296,296,2035,1.7075311794674972
297,297,2035,1.2139015769214563
298,298,2034,-0.29379140197478204
299,299,2035,0.18844827679658405
300,300,2035,-0.33544054199735074
301,301,2035,-0.861486481001744
302,302,2034,-2.385755757265201
303,303,2034,-2.904320836389274
304,304,2035,-2.4133143589545867
305,305,2035,-2.9089669129188795
306,306,2035,-3.387607219279859
307,307,2035,-3.84570981150078
308,308,2035,-4.2798834927416
309,309,2034,-5.68684844984642
310,310,2033,-7.063466121777237
311,311,2032,-8.40673660301881
312,312,2032,-8.713832732661999
313,313,2033,-7.982133387559661
314,314,2033,-8.209218684337984
315,315,2033,-8.3928749538719
316,316,2034,-7.531120177493516
317,317,2034,-7.62222864307993
318,318,2033,-8.664690645060295
319,319,2032,-9.657235200772245
320,320,2031,-10.598846412121336
321,321,2032,-9.488752143872789
322,322,2034,-7.3264543457396005
323,323,2037,-4.111699623485128
324,324,2039,-1.8444861171343359
325,325,2039,-1.5250693821762242
326,326,2038,-2.1539565525091278
327,327,2035,-4.73192611725367
328,328,2034,-5.259998669246038
329,329,2032,-6.739475918243365
330,330,2033,-5.171903989466529
331,331,2033,-4.559115739028362
332,332,2034,-2.903159974706451
333,333,2036,-0.2063150268909686
334,334,2038,2.528925196472846
335,335,2040,5.299892616309421
336,336,2042,8.103707341669296
337,337,2043,9.93730491574798
338,338,2044,11.797421527309613
339,339,2045,13.680590657387203
340,340,2045,14.583167095202787
341,341,2045,15.501388878510372
342,342,2044,15.431370560831443
343,343,2043,15.369139717588016
344,344,2041,14.310599259967717
345,345,2038,12.251548854344804
346,346,2036,11.187749424052322
347,347,2034,10.114881148796627
348,348,2033,10.028597569839834
349,349,2032,9.924531926524644
350,350,2031,9.79833021712878
351,351,2031,10.645668276228172
352,352,2032,12.462247511154933
353,353,2034,15.243849064205156
354,354,2036,17.986302485428137
355,355,2037,19.685550329680638
356,356,2037,20.33763773679601
357,357,2036,19.93874435822651
358,358,2034,18.485178526349817
359,359,2033,17.973424219260664
360,360,2032,17.400107550901467
361,361,2032,17.76204799233677
362,362,2038,24.05630365039876
363,363,2050,36.28011455700131
364,364,2071,57.430989113710254
365,365,2092,78.50662442269382
366,366,2104,90.50495921996598
367,367,2097,83.4241884829084
368,368,2065,51.26277709634772
369,369,2011,-2.980527394168849
370,370,1943,-71.30668835564222
371,371,1877,-137.7163371978904
372,372,1828,-187.2098061737297
373,373,1806,-209.78713557809422
374,374,1816,-200.4481034391902
375,375,1853,-164.19225090736484
376,376,1907,-111.01886598775224
377,377,1961,-57.927016351946214
378,378,2006,-13.915428415162953
379,379,2035,14.017477765042726
380,380,2049,26.87361653048741
381,381,2054,30.65519427127566
382,382,2054,29.364698018627525
383,383,2053,27.00485646765644
384,384,2053,25.578653265338414
385,385,2056,27.089307315057734
386,386,2058,27.540241609043107
387,387,2060,27.935141791258552
388,388,2060,26.277891179853718
389,389,2060,24.572574445792625
390,390,2059,21.82345917776108
391,391,2059,20.034992709199937
392,392,2060,19.211782352824233
393,393,2061,18.358564286302595
394,394,2061,16.48021448584831
395,395,2062,15.581737854480108
396,396,2062,13.668203567615965
397,397,2063,12.74478147071625
398,398,2064,11.816719470748687
399,399,2065,10.88931530536571
400,400,2066,9.967893473379837
401,401,2066,8.057760639312255
402,402,2067,7.1641982447609225
403,403,2067,5.2924497894141025
404,404,2068,4.447745590985178
405,405,2069,3.6352477148030227
406,406,2070,2.8600645262212083
407,407,2070,1.1271908027361839
